,C1,C2,C3,C4,C5
D1S1P1,0.0,0.0,Tool3,0.0,0.0
D1S1P2,Tool3,0.0,0.0,0.0,0.0
D1S1P3,Tool3,Tool1,0.0,0.0,Tool2
D1S2P1,0.0,0.0,Tool2,Tool1,Tool2
D1S2P2,0.0,0.0,0.0,0.0,0.0
D1S2P3,0.0,Tool1,0.0,0.0,Tool2
D1S3P1,0.0,Tool1,Tool2,0.0,Tool2
D1S3P2,Tool2,Tool1,0.0,Tool3,Tool2
D1S3P3,0.0,Tool2,Tool2,0.0,0.0
D2S1P1,0.0,0.0,0.0,0.0,0.0
D2S1P2,Tool1,Tool3,0.0,Tool2,0.0
D2S1P3,0.0,0.0,0.0,Tool2,0.0
D2S2P1,Tool1,Tool1,0.0,Tool2,Tool1
D2S2P2,Tool2,0.0,0.0,0.0,0.0
D2S2P3,0.0,Tool3,Tool2,Tool2,0.0
D2S3P1,Tool1,Tool2,0.0,0.0,0.0
D2S3P2,0.0,Tool1,0.0,Tool3,0.0
D2S3P3,0.0,Tool3,Tool2,Tool2,Tool1
D3S1P1,0.0,Tool1,Tool1,Tool2,Tool1
D3S1P2,0.0,Tool3,0.0,Tool1,0.0
D3S1P3,0.0,0.0,0.0,0.0,Tool2
D3S2P1,0.0,0.0,0.0,Tool1,0.0
D3S2P2,Tool3,0.0,Tool2,Tool2,0.0
D3S2P3,Tool1,0.0,Tool1,0.0,Tool1
D3S3P1,Tool3,0.0,0.0,Tool2,Tool2
D3S3P2,0.0,0.0,Tool3,Tool2,0.0
D3S3P3,0.0,Tool1,0.0,Tool2,0.0
D4S1P1,0.0,0.0,0.0,0.0,0.0
D4S1P2,0.0,Tool2,Tool1,Tool1,0.0
D4S1P3,Tool2,0.0,0.0,Tool1,0.0
D4S2P1,Tool2,0.0,0.0,Tool1,0.0
D4S2P2,Tool2,Tool3,Tool3,0.0,0.0
D4S2P3,Tool3,Tool3,0.0,0.0,0.0
D4S3P1,Tool2,Tool2,Tool3,Tool1,0.0
D4S3P2,Tool1,0.0,Tool2,Tool3,0.0
D4S3P3,Tool3,Tool1,0.0,Tool2,0.0
D5S1P1,0.0,0.0,0.0,Tool1,0.0
D5S1P2,0.0,Tool1,Tool2,Tool2,0.0
D5S1P3,Tool3,0.0,0.0,0.0,0.0
D5S2P1,0.0,0.0,0.0,Tool2,Tool1
D5S2P2,0.0,0.0,0.0,Tool3,0.0
D5S2P3,Tool2,Tool1,Tool1,Tool2,0.0
D5S3P1,0.0,Tool1,Tool2,0.0,Tool2
D5S3P2,0.0,Tool1,Tool2,0.0,Tool2
D5S3P3,Tool2,0.0,Tool2,Tool1,0.0
D6S1P1,Tool2,0.0,0.0,0.0,0.0
D6S1P2,0.0,Tool3,0.0,Tool1,Tool2
D6S1P3,Tool2,0.0,0.0,0.0,Tool2
D6S2P1,Tool3,Tool3,Tool1,Tool2,0.0
D6S2P2,0.0,0.0,0.0,0.0,0.0
D6S2P3,0.0,0.0,0.0,0.0,0.0
D6S3P1,Tool1,0.0,Tool3,Tool2,0.0
D6S3P2,0.0,0.0,0.0,Tool1,0.0
D6S3P3,0.0,Tool1,0.0,Tool2,0.0
D7S1P1,0.0,Tool1,0.0,0.0,Tool1
D7S1P2,0.0,0.0,Tool3,Tool1,0.0
D7S1P3,Tool2,Tool1,Tool3,0.0,Tool2
D7S2P1,0.0,0.0,0.0,0.0,Tool2
D7S2P2,Tool2,Tool2,0.0,0.0,Tool3
D7S2P3,0.0,Tool1,Tool1,0.0,Tool1
D7S3P1,0.0,0.0,0.0,Tool1,Tool2
D7S3P2,0.0,0.0,Tool3,0.0,0.0
D7S3P3,0.0,0.0,Tool1,0.0,Tool2
